Restaurant_name,Location,Country_ID,Country,Latitude,Longitude,Awarded_since,Chef,Price_Range,Price_Lower,Price_Upper,Cuisine_Type,Comfortable_Level,Vegetarian,Outdoor_Dining,Specialty
El Celler de Can Roca,"Can Sunyer 48, Girona, 17007, Spain",ESP,Spain,41.99331,2.80788,2009,Joan Roca,173 - 233,173,233,Creative,4,0,0,"Ostra, salsa de hinojo, ajo negro, manzana, algas, champiñón, destilado de tierra y anémonas 
Merluza semicurada, jugo de las espinas, pesto de espárragos y rúcula, piparras a la parrilla y aire de aceite de rúcula 
Gran bombón de chocolate"
Azurmendi,"Legina Auzoa, Larrabetzu, 48195, Spain",ESP,Spain,43.2605608,-2.8182185,2013,Eneko Atxa,238,,238,Creative,4,0,0,"Quisquillas, gel vegetal y granizado de tomate 
Salmonete en dos servicios, a la llama y asado, jugo de pimientos al carbón y perejil 
Oliva negra, leche de oveja y cacao"
Restaurante Martín Berasategui,"Loidi 4, Lasarte, 20160, Spain",ESP,Spain,43.26677,-2.01545,2001,Martín Berasategui,195 - 298,195,298,Creative,4,0,1,"Ensalada de tuétanos de verdura con marisco, crema de lechuga de caserío y jugo yodado 
Solomillo “Luismi” asado a la brasa sobre lecho de clorofila de acelgas y bombón de queso 
Limón con jugo de albahaca, judía verde y almendra"
DiverXO,"Padre Damián 23, Tetuán, 28036, Spain",ESP,Spain,40.4581,-3.68573,2014,David Muñoz,270,,270,Creative,3,0,0,"Canapé crujiente de piel de cochinillo, chopitos y mermelada de tomates maduros 
""Espardenyes"" a la robata con pil-pil de ají amarillo, leche de tigre caliente de salmonetes y anguila ahumada 
Maíz, lulo, vainilla y la leche que queda en el fondo del bowl después de los cereales"
Arzak,"Avenida Alcalde José Elosegi 273 (Alto de Miracruz), Donostia-San Sebastián, 20015, Spain",ESP,Spain,43.321111,-1.949167,1989,Juan Mari Arzak and Elena Arzak,195 - 270,195,270,Creative,3,0,0,"Txangurro amarillo 
Mero en su plenitud 
Dulce mezcal"
Akelare,"Paseo del Padre Orcolaga 56 (Barrio de Igueldo), 7,5 km, Donostia-San Sebastián, 20008, Spain",ESP,Spain,43.307776,-2.043173,2015,Pedro Subijana,249,,249,Creative,4,0,0,"Txangurro en ensalada, acelga roja, espinaca y lechuga de Igeldo 
Royal de pichón con polenta 
El postre de la leche de oveja"
El Cenador de Amós,"Plaza del Sol 15, Villaverde de Pontones, 39793, Spain",ESP,Spain,43.412477,-3.699202,2020,Jesús Sánchez,96 - 173,96,173,Modern Cuisine,3,0,0,"La huerta navarra 
Mero con mantequilla de algas y caviar de cachón 
Nuestra versión de la tarta San Marcos"
Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany",DEU,Germany,48.520329,8.32683,2008,Claus-Peter Lumpp,135 - 317,135,317,Classic French,4,1,0,"Lauwarmer bretonischer Hummer mit mariniertem Kürbis 
Lamm von der Älbler Wacholderweide 
Topfensoufflé mit Passionsfruchtsauce, Bananen-Kiwisorbet und Vanilleeis"
Vendôme,"Kadettenstraße, Bergisch Gladbach, 51429, Germany",DEU,Germany,50.966292,7.160676,2005,Joachim Wissler,179 - 319,179,319,Creative,4,0,0,"Octopus und Steinpilze, Petersilienaioli, Topinambur, Leinsamenvinaigrette 
Rehrücken und Waldheidelbeeren, Räucheraal-Rehleberkompott, Vogelbeeren, Tannenwipfelgelee 
""Pure Dark Chocolate"", Grapefruitgranité, Bergamottegelee"
Rutz,"Chausseestraße 8, Berlin, 10115, Germany",DEU,Germany,52.528244,13.386203,2020,Marco Müller,171 - 214,171,214,Modern Cuisine,2,0,1,"Muscheln, Dünenkräuter und Aromen, Shoyu 
Salzwiesenlamm, Zwiebelgewächse und Holunder, Gerste 
Heidelbeere und Fichte, Amazake"
Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany",DEU,Germany,49.937953,6.81114,1999,Clemens Rambichler,122 - 243,122,243,Classic French,4,0,0,"Carpaccio von bretonischem Kaisergranat mit Imperial-Kaviarcrème und Haselnuss-Limonenmarinade 
In der Schale gegrillter Hummer mit Langustinencrème 
Marmoriertes Kokos-Mangoeis mit Ananas „Kreolischer Art“ und Basilikum-Limettensorbet"
The Table,"Shanghaiallee 15, Hamburg, 20457, Germany",DEU,Germany,53.54262,10.003121,2016,Kevin Fehling,238,,238,Creative,3,0,0,"Fjordforelle in indischen Aromen gebeizt, Tandoori, Mango, Senfkörner und Kokossud 
Rehrücken mit Walnuss-Pfefferkruste, fermentierte Blaubeeren, Sherryessighollandaise und Rosmarinjus 
Haselnuss-Crémeux, Kalamansigelee, Guave, Bananen-Curryeis, Kurkuma"
Atelier,"Promenadeplatz 2, München, 80333, Germany",DEU,Germany,48.140287,11.573318,2018,Jan Hartwig,200 - 265,200,265,Creative French,3,0,0,"Rauchaal und Jungschweinebauch, Zucchini, Dill, Safran-Dashi mit Pastis 
Soufflierte Wachtelbrust mit Amaranth, geschmorten Pilzen, Lauch und Vin Jaune 
Karamellisierte Felchlin „Edelweiß“ mit Ingwer und Olivenkrokant"
Victor's Fine Dining by Christian Bau,"Schlossstraße 27, Perl-Nennig, 66706, Germany",DEU,Germany,49.534914,6.386769,2006,Christian Bau,189 - 308,189,308,Creative,4,0,0,"Langoustine, Karotte, Maracuja, Bonitoessig 
Kinmedai mit Stabmuscheln, Palmherz, Yuzu-Koshu und XO 
Dessert aus Matcha, schwarzem Sesam und Mango"
Restaurant Überfahrt,"Überfahrtstraße 10, Rottach-Egern, 83700, Germany",DEU,Germany,47.696415,11.758168,2014,Christian Jürgens,269 - 334,269,334,Creative,4,0,1,"Huchen, Saiblingskaviar, Spitzkohl, Vin Jaune 
Rehrücken, Boudin Noir, Rouennaiser Sauce, Blaubeeren 
Oma Jürgens warmer Himbeerkuchen, Himbeeren, Milchmädcheneis, Guanaja"
GästeHaus Klaus Erfort,"Mainzer Straße 95, Saarbrücken, 66121, Germany",DEU,Germany,49.229434,7.007525,2008,Klaus Erfort,114 - 238,114,238,Classic French,3,0,1,"Gemüseacker mit bretonischem Hummer, Olivenkrokant und pochiertem Wachtelei 
Bresse-Poularde mit Trüffel, Kartoffelschaum und jungem Lauch 
Délice von der Marone mit heimischer Quitte und Gewürzsud"
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany",DEU,Germany,52.433172,10.78997,2009,Sven Elverfeld,211 - 276,211,276,Creative,4,0,0,"Sepia, Belugalinsen und Imperial Kaviar, Salicorne, Schaum vom geräucherten Stör 
Rücken, Ragout und Bries vom Lamm, Artischocke, Quinoa 
Heu und Grapefruit, Sauerampfer, Gewürztagetes, Holunder, Weizengras"
Lung King Heen,"8 Finance Street, Central, Hong Kong",CHN,Hong Kong,22.28666,114.156613,2009,Chan Yan Tak,77 - 384,77,384,Cantonese,4,0,0,Not Available
8½ Otto e Mezzo Bombana,"18 Chater Road, Central, Hong Kong",CHN,Hong Kong,22.281513,114.158777,2012,Umberto Bombana and Keith Yam Ka Lok,101 - 271,101,271,Italian,4,0,0,Not Available
L'Atelier de Joël Robuchon,"15 Queen's Road Central, Central, Hong Kong",CHN,Hong Kong,22.2816,114.157902,2012,David Alves,64 - 320,64,320,French Contemporary,2,1,0,"Duck foie gras cream with fine chicken jelly and sweet corn coulis 
Main lobster spaghetti with coral emulsion 
Chocolate soufflé with a pistachio ice cream"
Forum Restaurant,"255-257 Gloucester Road, Causeway Bay, Hong Kong",CHN,Hong Kong,22.281359,114.182319,2020,Yeung Koon Yat,26 - 258,26,258,Cantonese,2,0,0,Not Available
Sushi Shikon,"15 Queen'S Road Central, Central, Hong Kong",CHN,Hong Kong,22.280538,114.157903,2014,Yoshiharu Kakinuma,232 - 451,232,451,Sushi,1,0,0,Not Available
T'ang Court,"8 Peking Road, Tsim Sha Tsui, Hong Kong",CHN,Hong Kong,22.296396,114.1675573,2016,Kwong Wai Keung,49 - 219,49,219,Cantonese,4,0,0,Not Available
Caprice,"8 Finance Street, Central, Hong Kong",CHN,Hong Kong,22.286604,114.156569,2019,Guillaume Galliot,83 - 335,83,335,French Contemporary,5,0,0,Not Available
Jade Dragon,"Estrada do Istmo, Cotai, Macau, Macao",CHN,Macau,22.149753,113.564991,2019,Kelvin Au Yeung,"300 - 2,000 ALL",3,17,Cantonese,4,0,0,Not Available
Robuchon au Dôme,"Avenida de Lisboa, Macau, Macau, Macao",CHN,Macau,22.190892,113.54343,2009,Julien Tongourian,86 - 436,86,436,French Contemporary,5,0,0,Not Available
The Eight,"Avenida de Lisboa, Macau, Macau, Macao",CHN,Macau,22.190918,113.54348,2014,Cheung Tan-leung,50 - 374,50,374,Cantonese,4,0,0,Not Available
